Barcode,Call Number,ID,Lname,Fname,LName2,FName2,TheRest,Author/Editor,Title,Volume/Edition,Holding,Sort1,Sort2,DO NOT INCLUDE,DECIMAL CHECK,Don't Include,Sort3,Nope,Sort4,Sort5,Sort6,Sort7,Sort8,Sort9,Sort10,Sort11,Sort12,Sort13,Sort14,Processing Notes,APA Citation,Chicago Citation,Date of Entry,Notes,Column1,Column2
L0112033105,AE 1 W462c,7,,,,,,"Wells, James M.",The circle of knowledge   Encyclopedias past and p,,AE 1 W462c,AE,1,W462c,TRUE,.W462c,.W,#NAME?,462,#NAME?,,,,,,,,,,,,,,,,
,AE 5 E562 1875 v. 1,6167,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.I,AE 5 E562 1875 v. 1,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,1,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 2,6168,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.II,AE 5 E562 1875 v. 2,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,2,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 3,6169,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.III,AE 5 E562 1875 v. 3,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,3,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 4,6170,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.IV,AE 5 E562 1875 v. 4,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,4,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 5,6171,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.V,AE 5 E562 1875 v. 5,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,5,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 6,6172,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.VI,AE 5 E562 1875 v. 6,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,6,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 7,6173,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.VII,AE 5 E562 1875 v. 7,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,7,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 8,6174,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.VIII,AE 5 E562 1875 v. 8,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,8,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 9,6175,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.IX,AE 5 E562 1875 v. 9,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,9,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 10,6176,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.X,AE 5 E562 1875 v. 10,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,10,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 11,6177,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XI,AE 5 E562 1875 v. 11,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,11,,,,,,,,,,,Glass Display Case 2,,
